Planktonic age,1-sigma,Benthic age,1-sigma,Delta-R,Water depth,Latitude,Longitude,Core name,Citation,Calendar age,1-sigma range -,1-sigma range +,2-sigma range -,2-sigma range +,tB-P,1-sigma range -,1-sigma range +,2-sigma range -,2-sigma range +,D14C0,1-sigma range -,1-sigma range +,2-sigma range -,2-sigma range +,D14C0-Atm,1-sigma range -,1-sigma range +,2-sigma range -,2-sigma range +,"D14C0,adj",1-sigma range -,1-sigma range +,2-sigma range -,2-sigma range +,tProj2,1-sigma range -,1-sigma range +,2-sigma range -,2-sigma range +,tB-Atm,1-sigma range -,1-sigma range +,2-sigma range -,2-sigma range +
(14C ky),(14C ky),(14C ky),(14C ky),(14C ky),(km),degrees N,degrees E,,,(kcal BP),(kcal BP),(kcal BP),(kcal BP),(kcal BP),(14C ky),(14C ky),(14C ky),(14C ky),(14C ky),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(‰ PIPN),(cal ky),(cal ky),(cal ky),(cal ky),(cal ky),(14C ky),(14C ky),(14C ky),(14C ky),(14C ky)
3.290,0.040,4.660,0.040,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",2.91,2.84,2.96,2.79,3.03,1.37,1.31,1.43,1.26,1.48,-204,-211,-197,-218,-190,-206,-213,-199,-220,-193,-206,-212,-199,-219,-193,1.98,1.90,2.06,1.82,2.14,1.85,1.78,1.92,1.72,1.99
4.270,0.100,5.970,0.040,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",4.16,4.02,4.31,3.88,4.42,1.70,1.59,1.81,1.48,1.92,-213,-227,-199,-241,-186,-246,-254,-236,-266,-229,-238,-247,-227,-259,-220,2.21,2.06,2.36,1.92,2.51,2.18,2.07,2.28,1.99,2.41
5.450,0.110,6.630,0.040,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",5.66,5.55,5.80,5.43,5.91,1.18,1.06,1.30,0.95,1.41,-131,-144,-117,-157,-103,-203,-227,-186,-235,-181,-189,-210,-174,-218,-169,1.50,1.36,1.63,1.23,1.76,1.68,1.53,1.89,1.49,1.97
7.500,0.110,9.020,0.040,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",7.80,7.69,7.91,7.58,8.00,1.52,1.40,1.64,1.29,1.75,-164,-176,-152,-187,-141,-243,-253,-232,-270,-215,-225,-235,-215,-250,-200,1.90,1.76,2.03,1.63,2.17,2.05,1.94,2.15,1.80,2.31
10.600,0.050,11.370,0.050,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",11.56,11.39,11.70,11.29,11.83,0.77,0.70,0.84,0.63,0.91,-17,-38,1,-51,18,-177,-185,-168,-193,-159,-152,-160,-145,-168,-135,1.27,1.11,1.44,0.96,1.58,1.33,1.25,1.40,1.17,1.48
10.900,0.055,11.930,0.060,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",12.18,12.03,12.30,11.95,12.45,1.03,0.95,1.11,0.87,1.19,-12,-30,5,-43,24,-214,-224,-202,-238,-193,-177,-186,-168,-199,-159,1.20,1.06,1.36,0.90,1.47,1.57,1.47,1.66,1.39,1.78
11.420,0.060,12.600,0.050,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",12.73,12.66,12.79,12.61,12.88,1.18,1.10,1.26,1.02,1.34,-27,-38,-18,-46,-7,-232,-266,-210,-273,-205,-193,-216,-176,-222,-171,1.35,1.25,1.45,1.13,1.55,1.72,1.56,1.96,1.51,2.02
12.230,0.050,13.650,0.100,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",13.51,13.43,13.58,13.37,13.68,1.42,1.31,1.53,1.20,1.64,-62,-77,-48,-91,-33,-257,-274,-240,-291,-225,-215,-229,-201,-242,-188,2.40,2.24,2.58,2.06,2.75,1.95,1.81,2.09,1.68,2.22
13.450,0.085,14.250,0.120,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",15.39,15.24,15.54,15.14,15.70,0.80,0.65,0.95,0.51,1.09,93,67,118,45,145,-198,-219,-177,-242,-156,-153,-169,-136,-187,-120,1.35,1.11,1.61,0.85,1.84,1.34,1.18,1.49,1.03,1.66
14.150,0.055,14.830,0.060,0.160,1.366,41.1,142.4 ,MR01-K03 PC4/PC5,"Ahagon et al., 2003",16.37,16.25,16.47,16.17,16.61,0.68,0.60,0.76,0.52,0.84,144,125,160,111,180,-189,-206,-172,-223,-155,-142,-154,-129,-166,-116,1.21,1.06,1.36,0.90,1.52,1.23,1.11,1.34,0.99,1.46
